epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4955,1.41095,3.54901,1.62996,0.00429,0.94231,0.04434,0.01972,1.297,3.23953,1.5928,4.287e-05,4.287e-05,4.287e-05
2,18.3853,1.32625,3.46413,1.54152,0.00784,0.94872,0.10429,0.05887,1.10048,3.1979,1.46771,9.90397e-05,9.90397e-05,9.90397e-05
3,24.2045,1.13736,3.2699,1.44752,0.01656,0.77564,0.14798,0.08902,1.03967,3.18401,1.39796,0.000154078,0.000154078,0.000154078
4,28.6155,1.13997,3.18176,1.41945,0.02617,0.76282,0.13574,0.07596,1.09321,3.19587,1.44325,0.000207984,0.000207984,0.000207984
5,32.9375,1.10585,2.93535,1.41601,0.01852,0.66809,0.08232,0.03531,1.64111,3.35913,1.85132,0.000260758,0.000260758,0.000260758
6,38.5737,1.0837,2.76182,1.39027,0.01427,0.85399,0.07466,0.03368,1.78638,3.33062,2.03588,0.000312401,0.000312401,0.000312401
7,43.9359,1.10703,2.62715,1.39473,0.01459,0.69373,0.08566,0.03907,1.87396,3.35473,2.05828,0.000362912,0.000362912,0.000362912
8,47.8915,1.11452,2.5385,1.45659,0.01435,0.74501,0.12304,0.05057,1.79366,3.25739,2.10521,0.000412291,0.000412291,0.000412291
9,52.7783,1.13795,2.42905,1.46535,0.01305,0.77066,0.18564,0.09393,1.38709,3.09106,1.79711,0.000460538,0.000460538,0.000460538
10,58.5193,1.115,2.3598,1.43778,0.44174,0.35185,0.17098,0.08869,1.33235,3.03875,1.82819,0.000507654,0.000507654,0.000507654
11,62.8926,1.12445,2.33017,1.40582,0.01422,0.94872,0.16895,0.08263,1.52117,3.19772,1.92851,0.000553637,0.000553637,0.000553637
12,66.6187,1.10181,2.30373,1.40173,0.01625,0.75,0.20951,0.09512,1.69091,3.16013,2.19278,0.000598489,0.000598489,0.000598489
13,71.5623,1.13417,2.33374,1.45842,0.02103,0.48219,0.09094,0.04021,2.00198,3.28858,2.4422,0.00064221,0.00064221,0.00064221
14,77.062,1.15327,2.15431,1.45162,0.01842,0.36823,0.09098,0.05899,2.2747,3.58849,2.42648,0.000684798,0.000684798,0.000684798
15,81.3754,1.13332,2.08815,1.37615,0.36741,0.40171,0.1144,0.04975,2.03832,3.20278,2.5177,0.000726255,0.000726255,0.000726255
16,85.352,1.21861,2.20311,1.47054,0.78324,0.05173,0.10842,0.04549,1.74523,3.01883,2.36732,0.00076658,0.00076658,0.00076658
17,90.084,1.15752,2.19754,1.45249,0.00357,0.91168,0.07388,0.02829,1.7123,3.34984,2.40792,0.000805773,0.000805773,0.000805773
18,96.1352,1.23345,2.13662,1.45799,0.43879,0.08689,0.05074,0.02234,1.89937,3.37731,2.66129,0.000843835,0.000843835,0.000843835
19,100.314,1.19247,2.00942,1.46425,0.48607,0.03799,0.0664,0.01586,1.96114,3.40612,2.79236,0.000880764,0.000880764,0.000880764
20,104.289,1.18203,2.03255,1.44136,0.00237,0.5235,0.01821,0.00583,2.36454,3.69274,2.64545,0.000916562,0.000916562,0.000916562
21,109.282,1.24045,2.04943,1.4836,0.00217,0.47507,0.01356,0.00395,2.42903,3.68479,3.05033,0.000951228,0.000951228,0.000951228
22,115.466,1.22172,2.20797,1.4557,0.41296,0.10114,0.0425,0.01343,2.08965,3.50872,3.45765,0.000984762,0.000984762,0.000984762
23,121.735,1.20641,1.9849,1.44175,0.37273,0.04986,0.01512,0.00509,2.34118,3.73948,3.2226,0.00101717,0.00101717,0.00101717
24,126.761,1.32771,2.01929,1.53189,0.38674,0.0755,0.02197,0.00777,2.32793,3.69115,3.18947,0.00104844,0.00104844,0.00104844
25,132.488,1.20863,2.00594,1.46667,0.35687,0.11254,0.01401,0.00449,2.40018,3.73517,3.81458,0.00107857,0.00107857,0.00107857
26,137.022,1.24232,1.89881,1.45912,0.38716,0.20726,0.04092,0.01384,1.85705,3.37144,2.74387,0.00107532,0.00107532,0.00107532
27,140.98,1.26025,1.90477,1.50604,0.69497,0.11111,0.0308,0.00967,2.34302,4.20339,5.13188,0.00106118,0.00106118,0.00106118
28,145.454,1.1802,1.79064,1.43724,0.90491,0.03704,0.05276,0.03884,2.25738,3.82712,3.80967,0.00104703,0.00104703,0.00104703
29,151.142,1.20791,1.88067,1.43575,0.40193,0.0933,0.02588,0.01,2.08771,3.8111,2.94333,0.00103288,0.00103288,0.00103288
30,155.465,1.17977,1.85144,1.46375,0.38815,0.10669,0.02877,0.01121,2.05733,3.72396,3.07763,0.00101873,0.00101873,0.00101873
31,159.372,1.17185,1.81651,1.44013,0.75083,0.03704,0.05777,0.02909,2.02527,3.43722,2.93733,0.00100459,0.00100459,0.00100459
32,164.334,1.20892,1.78953,1.47216,0.00263,0.82977,0.00691,0.00208,2.175,3.67583,2.7369,0.00099044,0.00099044,0.00099044
33,169.775,1.15318,1.6758,1.43841,0.00175,0.63675,0.00649,0.00236,2.62599,3.59124,2.93642,0.000976293,0.000976293,0.000976293
34,173.963,1.1947,1.67909,1.43286,0.36875,0.01282,0.01225,0.00458,2.42536,3.39937,2.75832,0.000962146,0.000962146,0.000962146
35,177.795,1.14425,1.66371,1.42372,0.00135,0.46225,0.00388,0.00164,2.80988,3.56907,3.00688,0.000947999,0.000947999,0.000947999
36,182.473,1.1474,1.61406,1.4312,0.36311,0.00641,0.00822,0.00375,3.15248,3.69272,3.36615,0.000933851,0.000933851,0.000933851
37,188.253,1.09332,1.59,1.39503,0.55249,0.02059,0.03895,0.01338,2.64619,3.48685,2.86978,0.000919704,0.000919704,0.000919704
38,192.329,1.08145,1.57559,1.37646,0.58694,0.04345,0.05551,0.02412,1.7281,3.44256,2.42643,0.000905557,0.000905557,0.000905557
39,196.199,1.1265,1.5121,1.39156,0.53413,0.01282,0.05789,0.02328,1.80379,3.42568,2.60113,0.00089141,0.00089141,0.00089141
40,201.048,1.09558,1.50593,1.36356,0.14239,0.08191,0.09898,0.04232,1.76467,2.96576,2.5008,0.000877263,0.000877263,0.000877263
41,206.872,1.08222,1.42441,1.36727,0.45596,0.16524,0.09524,0.04352,1.78512,2.87176,2.41709,0.000863116,0.000863116,0.000863116
42,210.731,1.08313,1.37924,1.33999,0.15006,0.17365,0.0999,0.04071,1.87109,2.82915,2.48646,0.000848969,0.000848969,0.000848969
43,214.686,1.066,1.39252,1.3554,0.45674,0.17664,0.0736,0.02071,2.24361,2.91483,2.94597,0.000834822,0.000834822,0.000834822
44,219.731,1.00938,1.36767,1.33791,0.46422,0.18803,0.10981,0.04368,1.88167,2.86704,2.45072,0.000820675,0.000820675,0.000820675
45,225.484,1.13567,1.3927,1.3608,0.64638,0.12037,0.15703,0.06815,1.8845,2.36023,2.41156,0.000806528,0.000806528,0.000806528
46,229.321,1.00009,1.27639,1.27823,0.8033,0.12821,0.1209,0.04732,2.06781,2.34912,2.57884,0.00079238,0.00079238,0.00079238
47,233.216,1.02466,1.2784,1.31317,0.45115,0.14601,0.08078,0.03907,2.29454,2.58863,2.58315,0.000778233,0.000778233,0.000778233
48,238.529,1.05072,1.29684,1.33883,0.43609,0.19496,0.10259,0.05115,2.01611,2.38216,2.34985,0.000764086,0.000764086,0.000764086
49,243.339,0.98994,1.21333,1.2875,0.46261,0.11538,0.13082,0.06361,1.88502,2.37626,2.2784,0.000749939,0.000749939,0.000749939
50,247.042,0.99265,1.24342,1.31402,0.41556,0.10256,0.07709,0.0346,2.23305,2.6916,2.5516,0.000735792,0.000735792,0.000735792
51,251.528,1.01884,1.28405,1.31474,0.47805,0.17806,0.17467,0.07669,1.82914,2.37509,2.24878,0.000721645,0.000721645,0.000721645
52,256.956,0.98142,1.23509,1.26153,0.5155,0.151,0.13008,0.06259,1.89444,2.38271,2.21408,0.000707498,0.000707498,0.000707498
53,261.447,0.95179,1.21595,1.25734,0.53637,0.3312,0.17524,0.08525,1.71328,2.2814,2.05626,0.000693351,0.000693351,0.000693351
54,265.192,0.91861,1.16265,1.2685,0.22369,0.31628,0.19032,0.09105,1.69143,2.35453,2.05815,0.000679204,0.000679204,0.000679204
55,269.64,0.94033,1.14754,1.26493,0.20007,0.32855,0.16862,0.08969,1.52252,2.66868,1.99919,0.000665057,0.000665057,0.000665057
56,275.486,0.92484,1.09636,1.27681,0.56836,0.32479,0.16086,0.07688,1.65523,2.98602,2.19358,0.000650909,0.000650909,0.000650909
57,279.792,0.94285,1.12331,1.22147,0.63517,0.2129,0.20911,0.09751,1.74269,2.35464,2.27177,0.000636762,0.000636762,0.000636762
58,283.949,0.8546,1.01038,1.203,0.51932,0.29558,0.18059,0.08838,1.85572,2.3661,2.42829,0.000622615,0.000622615,0.000622615
59,288.073,0.89224,1.04106,1.23375,0.72483,0.17806,0.23118,0.12355,1.86362,2.09321,2.40849,0.000608468,0.000608468,0.000608468
60,294.059,0.89343,1.04895,1.25201,0.82606,0.27279,0.27897,0.15218,1.74976,1.91262,2.2064,0.000594321,0.000594321,0.000594321
61,298.649,0.88587,0.99775,1.19853,0.81753,0.24858,0.26954,0.13229,1.85493,1.85878,2.30033,0.000580174,0.000580174,0.000580174
62,302.516,0.83456,1.01049,1.19752,0.33988,0.2792,0.23666,0.10367,1.88359,1.93006,2.30607,0.000566027,0.000566027,0.000566027
63,306.9,0.86139,0.96561,1.19933,0.67207,0.29328,0.27375,0.13086,1.64351,1.81947,2.06882,0.00055188,0.00055188,0.00055188
64,312.725,0.82249,0.94472,1.17093,0.3027,0.28419,0.27044,0.12677,1.70683,1.95667,2.18765,0.000537733,0.000537733,0.000537733
65,317.146,0.92075,1.0004,1.23004,0.31469,0.25626,0.25289,0.1269,1.56804,1.98326,2.00322,0.000523586,0.000523586,0.000523586
66,320.773,0.85231,0.91766,1.20344,0.29232,0.32764,0.25942,0.13384,1.68054,2.08884,2.05719,0.000509438,0.000509438,0.000509438
67,325.493,0.78782,0.9223,1.16626,0.68002,0.28917,0.26437,0.11974,1.79406,2.37206,2.17729,0.000495291,0.000495291,0.000495291
68,331.326,0.81686,0.92547,1.16312,0.23281,0.34402,0.20149,0.09875,1.68643,2.34587,2.08351,0.000481144,0.000481144,0.000481144
69,335.685,0.79828,0.89868,1.17029,0.18876,0.32764,0.21012,0.10633,1.75283,2.21656,2.21906,0.000466997,0.000466997,0.000466997
70,340.075,0.83235,0.89249,1.19055,0.2993,0.26638,0.30289,0.18067,1.63774,1.81214,2.11544,0.00045285,0.00045285,0.00045285
71,346.072,0.7771,0.85483,1.14491,0.7118,0.27137,0.31005,0.17915,1.58265,1.88732,2.11424,0.000438703,0.000438703,0.000438703
72,352.346,0.75491,0.81485,1.14555,0.61338,0.39013,0.32025,0.18007,1.62881,1.85473,2.09807,0.000424556,0.000424556,0.000424556
73,356.905,0.80456,0.83008,1.1604,0.65014,0.23433,0.29466,0.17002,1.59586,1.81379,2.01883,0.000410409,0.000410409,0.000410409
