epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9439,1.86628,3.40893,1.97767,0.00132,0.37113,0.04618,0.02218,2.18771,4.41936,2.10276,0.00018,0.00018,0.00018
2,32.8923,1.77619,3.14508,1.86951,0.00234,0.65979,0.06504,0.02838,2.13728,4.49307,2.12742,0.000376238,0.000376238,0.000376238
3,43.6311,1.73166,2.84042,1.85656,0.00253,0.71134,0.05546,0.02338,2.1346,4.52737,2.06676,0.000568516,0.000568516,0.000568516
4,55.9335,1.79708,2.72433,1.86731,0.32689,0.03093,0.05088,0.0136,2.27239,4.62201,2.0393,0.000756834,0.000756834,0.000756834
5,68.5249,1.84352,2.65169,1.89663,0.00278,0.78351,0.00942,0.00251,2.56214,5.00698,2.19184,0.000941192,0.000941192,0.000941192
6,78.8205,1.87945,2.63726,1.91334,0.40031,0.04124,0.03915,0.02283,2.76711,5.05241,2.69842,0.00112159,0.00112159,0.00112159
7,91.3171,1.95237,2.63961,1.9692,0.03072,0.10309,0.01111,0.00285,2.69238,5.00276,2.51208,0.00129803,0.00129803,0.00129803
8,103.296,1.94201,2.55394,1.96062,0.00166,0.46392,0.00605,0.00157,3.0952,4.59001,3.01434,0.00147051,0.00147051,0.00147051
9,113.873,1.95245,2.46169,1.99962,0.00048,0.13402,0.00028,7e-05,3.4412,5.40516,3.35048,0.00163902,0.00163902,0.00163902
10,126.544,1.99069,2.48533,1.98222,0.00202,0.03093,0.0007,0.00019,3.77586,69.1153,5.03697,0.00180358,0.00180358,0.00180358
11,139.364,2.01527,2.46603,2.05821,0.00061,0.05155,0.00026,7e-05,4.66618,11.9664,23.6334,0.001802,0.001802,0.001802
12,149.502,1.98614,2.3852,2.02488,0.00194,0.16495,0.0009,0.00023,4.20128,10.5868,5.59645,0.0017822,0.0017822,0.0017822
13,162.176,2.04257,2.3734,2.02038,0.01746,0.02062,0.00271,0.00067,3.77846,17.0581,4.44063,0.0017624,0.0017624,0.0017624
14,174.558,1.99076,2.27819,1.99223,0.09724,0.07216,0.03783,0.0074,2.79481,8.56213,2.92496,0.0017426,0.0017426,0.0017426
15,184.846,1.95156,2.28828,1.9807,0.23747,0.10309,0.07463,0.02263,2.66866,3.97938,2.74004,0.0017228,0.0017228,0.0017228
16,197.928,1.9153,2.28818,1.98826,0.12585,0.1134,0.05239,0.0168,2.52254,5.17389,2.5274,0.001703,0.001703,0.001703
17,208.914,1.90194,2.24682,1.97192,0.0721,0.17526,0.03949,0.01221,2.37413,13.4779,2.40177,0.0016832,0.0016832,0.0016832
18,220.547,1.88326,2.1942,1.93682,0.26116,0.14433,0.08037,0.02823,2.49622,4.25714,2.43441,0.0016634,0.0016634,0.0016634
