                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.055,                 5.5061,                 2.2112,                0.00183,                0.51546,                 0.0014,                0.00045,                 3.2334,                    inf,                 4.5937,                0.00036,                0.00036,                0.00036
                      2,                 2.3431,                 3.0767,                  2.372,                0.00183,                0.51546,                 0.0014,                0.00045,                    nan,                    nan,                    nan,             0.00073267,             0.00073267,             0.00073267
                      3,                 2.3971,                 2.9947,                 2.3748,                0.00183,                0.51546,                 0.0014,                0.00045,                    nan,                    nan,                    nan,              0.0010978,              0.0010978,              0.0010978
                      4,                 2.3305,                 2.8665,                 2.3285,                0.00183,                0.51546,                 0.0014,                0.00045,                    nan,                    nan,                    nan,              0.0014555,              0.0014555,              0.0014555
                      5,                 2.2677,                 2.8336,                 2.2555,                0.00183,                0.51546,                 0.0014,                0.00045,                    nan,                    nan,                    nan,              0.0018056,              0.0018056,              0.0018056
                      6,                 2.2342,                 2.8888,                 2.3509,                0.00011,                0.03093,                  6e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      7,                 2.2949,                 2.8792,                 2.3365,                0.00011,                0.03093,                  6e-05,                  1e-05,                      0,                 71.594,                      0,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2873,                 2.8258,                 2.2889,                0.03276,                0.04124,                 0.0035,                0.00099,                 4.1595,                 8.6409,                 7.6554,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1963,                 2.7979,                 2.2486,                0.00027,                0.01031,                  5e-05,                  1e-05,                 3.4174,                 950.28,                 3.2967,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.1534,                 2.7134,                 2.1743,                0.02707,                0.02062,                0.00478,                 0.0014,                 2.7754,                 6.2007,                 2.8384,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.167,                 2.7789,                  2.219,                0.02057,                0.10309,                0.01184,                0.00396,                 2.9653,                 8.5203,                 3.1005,               0.001802,               0.001802,               0.001802
                     12,                 2.1821,                 2.7628,                 2.2499,                0.02771,                0.09278,                0.01109,                0.00249,                  3.474,                 5.8965,                 3.3296,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.1185,                 2.6748,                 2.1747,                0.08858,                0.17526,                0.05542,                0.01563,                 2.7215,                 5.2313,                 2.8735,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1156,                 2.6539,                 2.1684,                0.03041,                0.07216,                0.01238,                0.00391,                  2.667,                 4.8961,                 2.7288,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.0489,                 2.5812,                 2.1358,                0.09698,                0.18557,                0.04898,                0.01456,                 2.7139,                 4.4861,                 2.6582,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1323,                 2.5852,                  2.147,                 0.0509,                0.14433,                0.02429,                0.00716,                  2.894,                 4.1332,                 2.7956,               0.001703,               0.001703,               0.001703
                     17,                  2.063,                 2.5191,                 2.1301,                0.00632,                0.12371,                0.00471,                0.00152,                 2.9229,                 5.7047,                 3.3032,              0.0016832,              0.0016832,              0.0016832
                     18,                  2.083,                 2.5288,                 2.1055,                0.04061,                0.18557,                0.02098,                0.00648,                 2.8017,                 4.5586,                 2.8147,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0233,                 2.4712,                 2.0757,                0.12497,                0.17526,                0.06696,                0.02313,                 2.4699,                 4.0087,                 2.5546,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0522,                 2.5279,                 2.1164,                0.31587,                0.14433,                0.09604,                0.03816,                 2.4992,                 3.1349,                 2.4968,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0072,                 2.4268,                 2.0369,                0.18392,                0.17526,                0.11689,                0.04394,                 2.4542,                 2.8663,                 2.3108,               0.001604,               0.001604,               0.001604
                     22,                 2.0106,                 2.4077,                 2.0632,                0.21701,                0.29897,                0.15174,                0.05186,                 2.6157,                 2.8648,                 2.4546,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9744,                 2.3934,                 2.0169,                0.17907,                0.19588,                0.11144,                0.04385,                 2.4994,                 3.8141,                 2.3506,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9488,                 2.3365,                 1.9956,                0.18528,                0.27835,                0.11279,                0.04203,                 2.3546,                 3.0685,                 2.2604,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.951,                 2.3342,                  1.997,                0.28977,                0.20619,                0.13338,                0.04767,                 2.4787,                 3.1197,                 2.4192,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9408,                 2.3694,                 2.0066,                0.18964,                0.30928,                0.13109,                0.04392,                 2.2385,                 2.8113,                 2.1409,               0.001505,               0.001505,               0.001505
