epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4891,1.08604,2.93974,1.44843,0.00359,0.96591,0.47107,0.2536,1.13968,3.00606,1.37297,0.00024,0.00024,0.00024
2,45.1886,1.15276,2.23418,1.4882,0.77402,0.07801,0.35844,0.16683,1.58461,3.19632,1.88335,0.00049505,0.00049505,0.00049505
3,55.5574,1.15843,2.00282,1.48135,0.60413,0.15617,0.3155,0.14707,1.8149,3.22572,2.3377,0.000744952,0.000744952,0.000744952
4,68.3977,1.22117,2.00984,1.51086,0.31667,0.44318,0.28174,0.1027,1.74287,2.94374,2.23528,0.000989706,0.000989706,0.000989706
5,80.8461,1.25307,1.90781,1.53152,0.36253,0.23864,0.20856,0.08518,1.89741,3.02253,2.213,0.00122931,0.00122931,0.00122931
6,90.2821,1.26706,1.85719,1.57608,0.34366,0.17045,0.15065,0.04353,2.01346,3.32357,2.44451,0.00146377,0.00146377,0.00146377
7,103.583,1.28461,1.83804,1.59597,0.18757,0.15909,0.09134,0.02997,2.35414,3.01991,2.89509,0.00169308,0.00169308,0.00169308
8,113.707,1.30279,1.7249,1.57567,0.06468,0.17045,0.0248,0.00866,2.51089,5.06997,3.6064,0.0018614,0.0018614,0.0018614
9,125.51,1.36421,1.82791,1.64578,0.09942,0.18182,0.05709,0.02017,2.08506,7.67944,3.24153,0.0018416,0.0018416,0.0018416
10,138.245,1.20723,1.70706,1.53206,0.13039,0.17045,0.06351,0.01414,2.46418,10.4932,4.30509,0.0018218,0.0018218,0.0018218
11,147.586,1.2009,1.63455,1.55897,0.17585,0.17045,0.08802,0.03259,2.1747,5.90385,4.19402,0.001802,0.001802,0.001802
12,160.378,1.27753,1.62347,1.59212,0.10524,0.20455,0.0551,0.01458,2.34005,6.82671,3.49027,0.0017822,0.0017822,0.0017822
13,170.999,1.26402,1.58247,1.59646,0.22445,0.19318,0.10374,0.03289,2.37895,4.30681,3.43827,0.0017624,0.0017624,0.0017624
14,182.274,1.25937,1.54871,1.57552,0.2747,0.30682,0.17648,0.06616,2.00458,4.05587,2.83341,0.0017426,0.0017426,0.0017426
15,195.23,1.26269,1.51551,1.56375,0.53165,0.43862,0.45932,0.26271,1.47518,2.15365,1.93243,0.0017228,0.0017228,0.0017228
16,204.574,1.1857,1.4033,1.48265,0.37598,0.375,0.30837,0.1376,1.76469,2.95913,2.33428,0.001703,0.001703,0.001703
17,217.46,1.18978,1.38365,1.50947,0.4141,0.41766,0.38749,0.20595,1.49892,2.40425,2.00367,0.0016832,0.0016832,0.0016832
18,228.181,1.17237,1.39766,1.47688,0.35799,0.31818,0.30066,0.15311,1.59195,2.69005,2.08816,0.0016634,0.0016634,0.0016634
19,238.436,1.16138,1.36212,1.50905,0.3873,0.36364,0.29216,0.15577,1.46222,3.00064,1.90825,0.0016436,0.0016436,0.0016436
20,251.345,1.11102,1.31217,1.45629,0.35196,0.29626,0.24848,0.10153,1.82526,2.73839,2.55314,0.0016238,0.0016238,0.0016238
21,260.57,1.13221,1.23114,1.52174,0.41407,0.375,0.29905,0.16327,1.60004,2.79555,2.16059,0.001604,0.001604,0.001604
22,273.046,1.12795,1.29625,1.4679,0.60462,0.62558,0.62486,0.38306,1.28745,1.62819,1.77128,0.0015842,0.0015842,0.0015842
23,283.688,1.16665,1.32673,1.46685,0.42624,0.39773,0.34918,0.18079,1.50114,2.23485,1.88356,0.0015644,0.0015644,0.0015644
24,293.97,1.05021,1.21975,1.38843,0.55895,0.64806,0.59856,0.35506,1.28175,1.94053,1.70134,0.0015446,0.0015446,0.0015446
25,306.844,1.06571,1.08975,1.40716,0.52602,0.68101,0.55829,0.3357,1.32247,1.55526,1.6913,0.0015248,0.0015248,0.0015248
26,315.794,1.11045,1.15112,1.45749,0.73559,0.55682,0.61516,0.42173,1.20118,1.72661,1.65191,0.001505,0.001505,0.001505
27,328.536,1.12402,1.14085,1.49984,0.6939,0.61828,0.64373,0.40896,1.17597,1.35645,1.56443,0.0014852,0.0014852,0.0014852
28,338.646,1.01483,1.12439,1.38677,0.55351,0.45083,0.43047,0.26162,1.34547,1.94915,1.67844,0.0014654,0.0014654,0.0014654
29,350.45,1.06653,1.15528,1.40346,0.3881,0.59091,0.43675,0.25267,1.46485,1.84322,1.92509,0.0014456,0.0014456,0.0014456
30,362.6,1.03491,1.14098,1.40201,0.4635,0.41235,0.38641,0.22945,1.34703,2.10853,1.80587,0.0014258,0.0014258,0.0014258
31,371.835,1.06903,1.13236,1.40283,0.60581,0.47727,0.50301,0.27551,1.41391,1.7857,1.7438,0.001406,0.001406,0.001406
32,384.638,1.05623,1.1033,1.38181,0.64234,0.65909,0.68883,0.44401,1.15957,1.24171,1.57127,0.0013862,0.0013862,0.0013862
33,394.783,1.03036,1.06992,1.36906,0.64792,0.59091,0.60844,0.34373,1.40204,1.54764,1.76235,0.0013664,0.0013664,0.0013664
34,406.017,1.01942,1.03008,1.39839,0.42086,0.46591,0.35025,0.18159,1.49146,2.49299,2.0262,0.0013466,0.0013466,0.0013466
35,418.811,1.01428,1.08023,1.35187,0.77355,0.62113,0.71157,0.49066,1.12577,1.35743,1.60048,0.0013268,0.0013268,0.0013268
36,428.151,1.01415,1.07347,1.38732,0.64451,0.40909,0.48029,0.27174,1.40064,1.88376,1.97713,0.001307,0.001307,0.001307
37,441.354,1.02631,1.08645,1.40269,0.6711,0.63636,0.62802,0.43595,1.0649,1.25664,1.52953,0.0012872,0.0012872,0.0012872
38,451.663,0.95696,1.01644,1.33692,0.69066,0.53282,0.56249,0.32417,1.33674,1.75494,1.83256,0.0012674,0.0012674,0.0012674
39,462.635,0.96019,0.97147,1.34331,0.42165,0.46591,0.42352,0.21671,1.45094,2.21028,1.95156,0.0012476,0.0012476,0.0012476
40,475.586,0.92689,0.91999,1.32948,0.6547,0.62483,0.65969,0.44765,1.10708,1.39661,1.512,0.0012278,0.0012278,0.0012278
41,485.027,0.88401,0.91596,1.25797,0.71016,0.69611,0.68482,0.46831,1.12715,1.26051,1.5498,0.001208,0.001208,0.001208
42,498.023,0.94757,0.97976,1.33511,0.77203,0.61364,0.68562,0.47576,1.10095,1.22446,1.56609,0.0011882,0.0011882,0.0011882
43,508.686,0.9052,0.95138,1.31671,0.71182,0.625,0.65318,0.40868,1.21756,1.3143,1.66783,0.0011684,0.0011684,0.0011684
