epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.415,1.15203,1.65235,1.53768,0.34026,0.3286,0.19169,0.0609,2.17045,14.3911,4.00181,0.000660819,0.000660819,0.000660819
2,256.332,1.37062,1.54395,1.69017,0.36463,0.46572,0.34672,0.15148,1.83094,4.07251,2.67894,0.00131434,0.00131434,0.00131434
3,371.03,1.32278,1.40744,1.64964,0.6026,0.50585,0.53906,0.27079,1.63932,1.75093,2.13185,0.00195467,0.00195467,0.00195467
4,486.008,1.28531,1.35249,1.61098,0.29116,0.33361,0.19787,0.07447,2.04396,2.82806,2.80935,0.0019406,0.0019406,0.0019406
5,601.671,1.22131,1.2506,1.56019,0.71897,0.67726,0.71867,0.4343,1.30164,1.52173,1.75626,0.0019208,0.0019208,0.0019208
6,718.759,1.16219,1.17495,1.50141,0.59534,0.61136,0.58027,0.3682,1.16543,1.33273,1.59782,0.001901,0.001901,0.001901
7,833.035,1.11601,1.09492,1.46902,0.812,0.71868,0.80293,0.52904,1.18792,1.05468,1.64053,0.0018812,0.0018812,0.0018812
8,947.644,1.07908,1.04399,1.4416,0.82714,0.77759,0.87195,0.6225,0.98159,0.8527,1.46441,0.0018614,0.0018614,0.0018614
9,1062.68,1.05588,0.98531,1.42716,0.83219,0.79515,0.86964,0.61254,1.05031,0.82156,1.5025,0.0018416,0.0018416,0.0018416
10,1176.44,1.0191,0.97949,1.40369,0.8626,0.79261,0.88295,0.66271,0.8875,0.73686,1.35687,0.0018218,0.0018218,0.0018218
11,1291.8,0.98225,0.92792,1.37918,0.86665,0.79882,0.89156,0.66375,0.87959,0.74408,1.34276,0.001802,0.001802,0.001802
12,1405.67,0.96596,0.89053,1.35743,0.85453,0.80548,0.87522,0.66384,0.87328,0.77168,1.33612,0.0017822,0.0017822,0.0017822
13,1519.41,0.98505,0.89916,1.36844,0.88183,0.82023,0.89872,0.6772,0.86449,0.75063,1.31158,0.0017624,0.0017624,0.0017624
14,1635,0.96502,0.8654,1.35875,0.85393,0.8554,0.91179,0.70169,0.83261,0.69858,1.29175,0.0017426,0.0017426,0.0017426
