epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6549,1.14906,2.95097,1.55153,0.12081,0.22727,0.05235,0.02061,2.04099,11.2859,2.51688,0.00024,0.00024,0.00024
2,24.2472,1.42826,2.38641,1.82803,0.00726,0.10227,0.00678,0.00165,4.64942,inf,827.113,0.00049505,0.00049505,0.00049505
3,30.5572,1.87252,2.46247,2.14355,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.000744952,0.000744952,0.000744952
4,36.751,1.99592,2.59433,2.20149,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,42.6027,1.91092,2.48899,2.20972,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.00122931,0.00122931,0.00122931
6,48.5036,1.79252,2.40143,2.04358,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,54.4154,1.98646,2.3605,2.22509,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,60.3672,1.88397,2.33407,2.09165,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,66.193,1.88113,2.29991,2.11965,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,72.1446,1.86527,2.3827,2.15265,0.00726,0.10227,0.00678,0.00165,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,78.0539,1.85356,2.30506,2.18534,0.01163,0.03409,0.00188,0.0005,nan,nan,nan,0.001802,0.001802,0.001802
12,84.1333,1.81326,2.2948,2.03343,0.0034,0.26136,0.00231,0.00076,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,90.0067,1.71886,2.24961,1.99496,0.0705,0.02273,0.01868,0.00464,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,96.0929,1.67734,2.14129,1.96516,0.06042,0.23864,0.05399,0.02241,2.31765,44.6088,3.12162,0.0017426,0.0017426,0.0017426
15,102.371,1.72518,2.35156,1.97957,0.05446,0.21591,0.03254,0.00892,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,108.326,1.69296,2.07633,1.93947,0.05988,0.03409,0.00816,0.00262,nan,nan,nan,0.001703,0.001703,0.001703
