epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4942,1.35663,4.3658,1.79672,0.00283,0.01136,0.00154,0.00048,2.56442,10.7417,3.12926,0.00024,0.00024,0.00024
2,28.6016,1.77718,3.54036,2.06735,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.00049505,0.00049505,0.00049505
3,38.1939,2.0264,2.9354,2.33574,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.000744952,0.000744952,0.000744952
4,47.6563,2.22062,2.93136,2.39986,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,56.6985,2.0809,2.86831,2.34076,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.00122931,0.00122931,0.00122931
6,65.6786,1.9747,2.62511,2.22464,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,74.6322,2.12247,2.66836,2.31712,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,83.7662,2.02262,2.70359,2.29381,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,92.7505,1.97241,2.53141,2.26908,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,101.766,1.95978,2.52572,2.23042,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,110.678,1.84797,2.43455,2.15619,0.00283,0.01136,0.00154,0.00048,nan,nan,nan,0.001802,0.001802,0.001802
12,119.708,1.87569,2.39915,2.14148,0.03481,0.03409,0.01072,0.0017,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,128.851,1.80554,2.371,2.10485,0.00489,0.20455,0.00211,0.00052,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,137.391,1.76176,2.32075,2.04188,0.01243,0.01136,0.00196,0.00039,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,146.024,1.71772,2.57948,1.96946,0.15576,0.11364,0.05609,0.01855,2.48418,9.60007,3.41779,0.0017228,0.0017228,0.0017228
16,155.157,1.70663,2.22067,1.99061,0.15399,0.07955,0.03536,0.01039,nan,nan,nan,0.001703,0.001703,0.001703
17,163.762,1.69311,2.14632,1.99121,0.2138,0.06818,0.03653,0.02132,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,172.84,1.64384,2.13405,1.94832,0.04518,0.09091,0.01181,0.00614,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,181.267,1.65272,2.08192,1.94973,0.08349,0.11364,0.03506,0.02159,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,190.472,1.62152,2.05778,1.94324,0.27943,0.39773,0.22135,0.09059,2.07143,2.98463,2.57258,0.0016238,0.0016238,0.0016238
21,199.612,1.57902,2.01037,1.88231,0.32048,0.29545,0.24925,0.09633,2.02816,3.11846,2.51218,0.001604,0.001604,0.001604
22,208.79,1.58959,2.06718,1.88443,0.23986,0.30682,0.17723,0.06915,1.89204,7.03318,2.45824,0.0015842,0.0015842,0.0015842
23,217.477,1.55798,1.94405,1.86919,0.19767,0.26136,0.14788,0.05348,2.08024,7.50947,2.54725,0.0015644,0.0015644,0.0015644
