epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1323,1.19971,4.7462,1.59672,0.00991,0.44318,0.00733,0.00253,2.01081,51.3748,2.25829,0.00024,0.00024,0.00024
2,41.2836,1.42655,3.37552,1.70143,0.00762,0.48864,0.00664,0.00213,nan,nan,nan,0.00049505,0.00049505,0.00049505
3,56.3909,1.62538,2.37136,1.88651,0.00762,0.48864,0.00664,0.00213,nan,nan,nan,0.000744952,0.000744952,0.000744952
4,71.3578,1.77869,2.39501,1.94771,0.00043,0.11364,0.00028,9e-05,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,86.0396,1.79766,2.4424,1.98728,6e-05,0.01136,3e-05,0,5.41169,inf,208.318,0.00122931,0.00122931,0.00122931
6,100.863,1.66242,2.291,1.91351,0.00248,0.45455,0.00195,0.0006,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,115.565,1.77956,2.26924,2.00401,0.00165,0.39773,0.00137,0.00052,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,130.443,1.77773,2.29886,1.98803,0.00183,0.10227,0.00093,0.00021,4.94521,nan,824.141,0.0018614,0.0018614,0.0018614
9,145.271,1.78797,2.22416,2.01085,0.00402,0.44318,0.00329,0.00106,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,160.129,1.81499,2.28097,1.99147,0.00517,0.04545,0.00141,0.0004,4.14346,34.8268,38.302,0.0018218,0.0018218,0.0018218
11,174.975,1.72743,2.10728,1.91229,0.0055,0.30682,0.00356,0.00088,3.27166,106.539,22.8874,0.001802,0.001802,0.001802
12,189.851,1.73132,2.20014,1.8682,0.01951,0.25,0.00875,0.00283,2.92028,17.3196,6.50277,0.0017822,0.0017822,0.0017822
13,204.729,1.62514,2.20192,1.84206,0.01951,0.25,0.00875,0.00283,5.88273,nan,25.8636,0.0017624,0.0017624,0.0017624
14,219.794,1.54036,2.00003,1.80043,0.04181,0.01136,0.00262,0.00049,3.86373,5.15937,5.10336,0.0017426,0.0017426,0.0017426
15,234.561,1.57805,2.09816,1.83093,0.04314,0.10227,0.02165,0.00612,2.99554,3.9027,3.78233,0.0017228,0.0017228,0.0017228
16,249.655,1.60244,2.02788,1.82633,0.15157,0.34105,0.14128,0.05159,1.89608,9.77592,2.4841,0.001703,0.001703,0.001703
17,264.631,1.51776,1.86265,1.75798,0.10798,0.31818,0.08887,0.03146,2.01604,9.58496,2.6304,0.0016832,0.0016832,0.0016832
18,279.462,1.563,1.90118,1.77261,0.20557,0.375,0.2167,0.06858,2.01336,7.31132,2.44068,0.0016634,0.0016634,0.0016634
19,294.408,1.50815,1.82591,1.74214,0.29635,0.42045,0.27072,0.10112,1.98883,3.35086,2.25598,0.0016436,0.0016436,0.0016436
20,309.49,1.51308,1.85386,1.75524,0.34026,0.52273,0.31554,0.13319,1.82885,3.45213,2.27906,0.0016238,0.0016238,0.0016238
21,324.51,1.40442,1.76482,1.69318,0.29332,0.42045,0.25938,0.10448,1.84413,4.00376,2.18367,0.001604,0.001604,0.001604
22,339.422,1.55856,1.94596,1.74625,0.33944,0.44318,0.29942,0.14272,1.64346,4.45982,2.01554,0.0015842,0.0015842,0.0015842
23,354.473,1.45684,1.7301,1.70078,0.38955,0.44318,0.34157,0.15951,1.69741,3.60219,2.12971,0.0015644,0.0015644,0.0015644
24,369.601,1.42048,1.67092,1.67189,0.30649,0.40909,0.33953,0.18112,1.58809,3.00451,2.03166,0.0015446,0.0015446,0.0015446
25,384.597,1.39985,1.66512,1.67584,0.55732,0.31479,0.31629,0.14461,1.98171,2.28873,2.3427,0.0015248,0.0015248,0.0015248
26,399.493,1.43606,1.7093,1.65714,0.37737,0.39262,0.3166,0.15604,1.63154,2.71815,1.98072,0.001505,0.001505,0.001505
27,414.214,1.40833,1.58821,1.62339,0.44494,0.55682,0.46545,0.23292,1.48879,2.15625,1.81875,0.0014852,0.0014852,0.0014852
28,429.315,1.39471,1.63757,1.64421,0.27647,0.39773,0.28739,0.133,1.83371,2.82271,2.16252,0.0014654,0.0014654,0.0014654
29,444.042,1.43623,1.63624,1.69282,0.2846,0.35227,0.24056,0.109,1.90022,2.45558,2.44841,0.0014456,0.0014456,0.0014456
30,458.9,1.29834,1.59748,1.55408,0.36871,0.51136,0.38919,0.19991,1.69982,2.31512,2.15505,0.0014258,0.0014258,0.0014258
31,473.689,1.37773,1.59644,1.60022,0.42538,0.375,0.33095,0.14781,1.76178,2.66426,2.23904,0.001406,0.001406,0.001406
32,488.556,1.28566,1.49357,1.53933,0.64504,0.47498,0.48515,0.24261,1.74643,1.88241,2.15619,0.0013862,0.0013862,0.0013862
33,503.54,1.30071,1.5142,1.57575,0.54068,0.5,0.42529,0.22922,1.71405,1.892,2.0807,0.0013664,0.0013664,0.0013664
34,518.372,1.32538,1.51069,1.59009,0.46933,0.42211,0.42175,0.20354,1.51992,2.0414,1.92564,0.0013466,0.0013466,0.0013466
