epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2452,1.25608,7.03806,1.6894,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.0003,0.0003,0.0003
2,44.3509,1.89115,3.15591,2.27566,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.000613862,0.000613862,0.000613862
3,58.1358,2.0017,2.78189,2.41501,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.000921388,0.000921388,0.000921388
4,72.6438,1.97705,2.82921,2.37575,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.00122258,0.00122258,0.00122258
5,86.429,2.08957,2.87662,2.48987,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.00151743,0.00151743,0.00151743
6,100.395,2.07093,2.81601,2.43285,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.00180595,0.00180595,0.00180595
7,113.999,2.09143,2.8727,2.48767,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,127.461,1.95725,2.8297,2.32449,0.02083,0.01136,0.0009,0.00016,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,141.218,1.90133,2.80986,2.35693,8e-05,0.02273,4e-05,2e-05,4.56487,inf,26.5712,0.0018416,0.0018416,0.0018416
10,154.478,1.79492,2.58982,2.2627,0.00093,0.02273,0.00049,0.00015,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,167.397,1.81367,2.45991,2.26967,0.00093,0.02273,0.00049,0.00015,nan,nan,nan,0.001802,0.001802,0.001802
12,180.474,1.80451,2.49448,2.23872,0.00209,0.06818,0.00054,0.0002,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,193.819,1.7759,2.4424,2.19066,0.00134,0.05682,0.00077,0.00021,3.59745,35.7177,6.14342,0.0017624,0.0017624,0.0017624
