epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.243,1.24914,1.64916,1.62689,0.0694,0.26254,0.04675,0.01276,2.73464,18.8264,4.08283,0.00066129,0.00066129,0.00066129
2,241.805,1.53512,1.77298,1.86257,0.35954,0.49378,0.35458,0.15976,1.71465,3.37186,2.20852,0.00131481,0.00131481,0.00131481
3,355.974,1.44923,1.6513,1.77329,0.4727,0.42057,0.41173,0.20741,1.66428,5.0183,2.31472,0.00195513,0.00195513,0.00195513
4,470.149,1.40931,1.55583,1.73416,0.51911,0.56522,0.51482,0.25693,1.57658,2.66932,2.11061,0.0019406,0.0019406,0.0019406
5,584.306,1.3127,1.38819,1.64556,0.54514,0.49498,0.51503,0.2705,1.57837,1.94471,2.06566,0.0019208,0.0019208,0.0019208
6,698.089,1.24957,1.33139,1.60151,0.75682,0.6974,0.75722,0.47806,1.25373,1.2048,1.71614,0.001901,0.001901,0.001901
7,811.952,1.18873,1.24251,1.56519,0.73412,0.66951,0.72856,0.44524,1.29933,1.31376,1.72051,0.0018812,0.0018812,0.0018812
8,925.668,1.14536,1.16916,1.52341,0.76359,0.76505,0.80304,0.55876,1.04072,1.03776,1.51739,0.0018614,0.0018614,0.0018614
9,1039.7,1.09175,1.11638,1.48026,0.7649,0.76168,0.83486,0.59671,0.967,0.91296,1.42336,0.0018416,0.0018416,0.0018416
10,1153.7,1.06399,1.04214,1.45609,0.8017,0.73351,0.81797,0.57248,1.01059,0.99256,1.47626,0.0018218,0.0018218,0.0018218
11,1267.5,1.0548,1.03941,1.45347,0.75853,0.82998,0.85413,0.61255,0.94295,0.99148,1.40463,0.001802,0.001802,0.001802
12,1381.44,1.02466,1.00838,1.42823,0.81462,0.7592,0.8481,0.60964,0.95294,0.90993,1.43718,0.0017822,0.0017822,0.0017822
13,1495.13,1.0133,0.96767,1.42258,0.84003,0.79348,0.89176,0.65992,0.91969,0.85728,1.3776,0.0017624,0.0017624,0.0017624
14,1608.98,0.9833,0.94142,1.39643,0.83622,0.82943,0.88532,0.65946,0.88997,0.80551,1.36555,0.0017426,0.0017426,0.0017426
15,1722.7,0.97738,0.92521,1.39121,0.8874,0.82365,0.91285,0.7011,0.8447,0.68745,1.30787,0.0017228,0.0017228,0.0017228
16,1836.53,0.95342,0.90539,1.37776,0.88426,0.82409,0.91478,0.70625,0.82108,0.69409,1.29981,0.001703,0.001703,0.001703
17,1950.37,0.92586,0.86841,1.35639,0.86396,0.81689,0.90414,0.69967,0.81193,0.68566,1.26961,0.0016832,0.0016832,0.0016832
18,2064.17,0.92098,0.85837,1.35028,0.85418,0.81794,0.89885,0.69534,0.81077,0.7355,1.30504,0.0016634,0.0016634,0.0016634
19,2177.8,0.89947,0.82753,1.33588,0.9061,0.8149,0.92177,0.72736,0.76613,0.64954,1.24387,0.0016436,0.0016436,0.0016436
20,2291.62,0.9067,0.84078,1.33522,0.84662,0.86301,0.92681,0.72585,0.78259,0.65558,1.24424,0.0016238,0.0016238,0.0016238
