epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4579,1.31602,3.20842,1.61621,0.00996,0.81156,0.109,0.05398,0.99699,3.18078,1.38065,2.5e-05,2.5e-05,2.5e-05
2,14.2006,1.33408,3.22214,1.66088,0.01036,0.81689,0.11594,0.06279,0.9262,3.17083,1.35215,6.18813e-05,6.18813e-05,6.18813e-05
3,17.9264,1.12131,3.13346,1.52179,0.01087,0.8151,0.16122,0.08171,0.88414,3.1803,1.33709,9.802e-05,9.802e-05,9.802e-05
4,22.2228,1.07204,3.08931,1.46523,0.01155,0.80996,0.19786,0.11177,0.88026,3.18499,1.3408,0.000133416,0.000133416,0.000133416
5,25.0868,1.03545,3.07472,1.45349,0.01314,0.83846,0.24633,0.13519,0.89413,3.17012,1.33413,0.00016807,0.00016807,0.00016807
6,27.7099,0.93233,2.95707,1.39955,0.01522,0.83636,0.26534,0.14858,0.9045,3.17358,1.35034,0.000201981,0.000201981,0.000201981
7,30.2842,0.96217,2.89605,1.40019,0.01725,0.82498,0.2825,0.15953,0.99132,3.1849,1.41644,0.00023515,0.00023515,0.00023515
8,34.6279,1.0083,2.85871,1.40892,0.01594,0.82095,0.26355,0.15695,0.90723,3.17119,1.35641,0.000267576,0.000267576,0.000267576
9,39.0796,1.01341,2.72368,1.41837,0.01404,0.81041,0.28528,0.1636,0.94534,3.16748,1.39657,0.00029926,0.00029926,0.00029926
10,42.2183,1.02482,2.66137,1.42232,0.0125,0.80029,0.27426,0.15749,0.95903,3.14136,1.42447,0.000330201,0.000330201,0.000330201
11,44.8875,1.00317,2.58027,1.41681,0.0121,0.8062,0.26531,0.1594,0.9446,3.12824,1.4399,0.0003604,0.0003604,0.0003604
12,47.4448,1.00598,2.46723,1.43047,0.01204,0.80845,0.27372,0.18396,0.99104,3.10056,1.45404,0.000389856,0.000389856,0.000389856
13,50.457,1.00779,2.36846,1.42122,0.0117,0.81216,0.29686,0.18201,1.06118,3.03224,1.53729,0.00041857,0.00041857,0.00041857
14,54.1831,0.99155,2.26724,1.43473,0.01158,0.83009,0.29588,0.17161,1.13279,2.98931,1.57913,0.000446541,0.000446541,0.000446541
15,58.034,1.04974,2.24773,1.47536,0.01195,0.89522,0.27447,0.16616,1.11765,2.98955,1.55491,0.00047377,0.00047377,0.00047377
16,60.7604,1.01765,2.14241,1.43409,0.01108,0.84483,0.28867,0.17057,1.17988,2.95643,1.6533,0.000500256,0.000500256,0.000500256
17,63.3028,1.06107,2.13402,1.50401,0.04562,0.80526,0.28785,0.16223,1.27148,2.91585,1.76298,0.000526,0.000526,0.000526
18,65.8811,1.01273,2.05946,1.4426,0.25025,0.42382,0.30981,0.17769,1.24742,2.83452,1.64631,0.000551001,0.000551001,0.000551001
19,69.0435,1.0219,2.058,1.42352,0.9348,0.02374,0.29464,0.16601,1.2971,2.8172,1.68214,0.00057526,0.00057526,0.00057526
20,72.9223,0.98723,1.94707,1.42987,0.76073,0.05916,0.34105,0.1877,1.3076,2.75174,1.66894,0.000598776,0.000598776,0.000598776
21,76.454,0.93526,1.84617,1.35479,0.67177,0.11216,0.37433,0.21369,1.22174,2.71434,1.64977,0.00062155,0.00062155,0.00062155
22,79.2841,0.97894,1.88869,1.40519,0.79965,0.12064,0.40383,0.24075,1.04869,2.65572,1.4916,0.000643581,0.000643581,0.000643581
23,81.8599,0.93137,1.81318,1.38086,0.79069,0.07169,0.37681,0.24274,1.0598,2.6685,1.53012,0.00066487,0.00066487,0.00066487
24,84.4787,0.93373,1.8293,1.38548,0.82936,0.08527,0.3774,0.23771,1.12952,2.66075,1.58927,0.000685416,0.000685416,0.000685416
25,87.7273,0.91412,1.71963,1.35256,0.65755,0.14867,0.3967,0.23963,1.11621,2.58985,1.61475,0.00070522,0.00070522,0.00070522
26,91.8595,0.92507,1.67976,1.37405,0.5822,0.23987,0.41119,0.25412,1.15691,2.49281,1.62563,0.000724281,0.000724281,0.000724281
27,95.2,0.86072,1.62979,1.30195,0.50142,0.27388,0.39862,0.23792,1.25312,2.44519,1.71342,0.0007426,0.0007426,0.0007426
28,97.9625,0.91187,1.69433,1.34558,0.45582,0.33377,0.42751,0.25946,1.24556,2.39289,1.68885,0.000760176,0.000760176,0.000760176
29,100.529,0.92244,1.57628,1.3258,0.50699,0.33177,0.41415,0.26766,1.20507,2.40433,1.6485,0.00077701,0.00077701,0.00077701
30,103.048,0.87787,1.557,1.30055,0.39746,0.28913,0.27894,0.16038,1.44357,2.57005,1.90317,0.000793101,0.000793101,0.000793101
31,106.217,0.90494,1.52048,1.33967,0.41782,0.26523,0.27266,0.15627,1.45425,2.60775,1.87207,0.00080845,0.00080845,0.00080845
32,110.43,0.89807,1.54112,1.32056,0.32711,0.31291,0.31283,0.18905,1.33118,2.47924,1.70097,0.000823056,0.000823056,0.000823056
33,113.763,0.8912,1.51044,1.32259,0.2823,0.34194,0.28968,0.16473,1.44436,2.51414,1.83374,0.00083692,0.00083692,0.00083692
34,116.313,0.92868,1.59065,1.3547,0.31477,0.30329,0.2808,0.14661,1.3882,2.49502,1.81186,0.000841625,0.000841625,0.000841625
35,118.933,0.90205,1.51127,1.35248,0.34041,0.33284,0.2799,0.17014,1.31535,2.5468,1.72391,0.00082925,0.00082925,0.00082925
36,121.57,0.91723,1.50193,1.30914,0.37438,0.33153,0.29507,0.18476,1.33198,2.60307,1.78211,0.000816875,0.000816875,0.000816875
37,125.13,0.92677,1.52856,1.33488,0.35449,0.37942,0.31343,0.20224,1.27216,2.48423,1.73658,0.0008045,0.0008045,0.0008045
38,129.415,0.90791,1.49793,1.33113,0.3686,0.39431,0.33813,0.22177,1.19887,2.28294,1.65762,0.000792125,0.000792125,0.000792125
39,132.483,0.87091,1.40325,1.29202,0.36703,0.44555,0.35616,0.24372,1.12735,2.17333,1.56238,0.00077975,0.00077975,0.00077975
40,134.905,0.81929,1.39664,1.27295,0.43056,0.42772,0.40084,0.28281,1.06952,2.25973,1.48521,0.000767375,0.000767375,0.000767375
41,137.582,0.82898,1.34089,1.2811,0.45937,0.40066,0.42431,0.31023,1.0543,2.27148,1.45723,0.000755,0.000755,0.000755
42,140.388,0.84817,1.3848,1.30176,0.5109,0.37192,0.42521,0.30732,1.12799,2.28467,1.54677,0.000742625,0.000742625,0.000742625
43,143.715,0.85273,1.33125,1.3095,0.5285,0.45896,0.4867,0.36328,1.11629,2.1744,1.54207,0.00073025,0.00073025,0.00073025
44,147.39,0.81964,1.29057,1.27446,0.5821,0.52639,0.55619,0.39607,1.09855,2.00739,1.49164,0.000717875,0.000717875,0.000717875
45,150.19,0.84834,1.31414,1.30511,0.67734,0.51773,0.57245,0.39475,1.13101,1.96392,1.49696,0.0007055,0.0007055,0.0007055
46,152.751,0.84267,1.31322,1.2975,0.57511,0.54338,0.56227,0.38446,1.10695,2.00783,1.49247,0.000693125,0.000693125,0.000693125
47,155.309,0.77634,1.21929,1.24073,0.54674,0.56978,0.559,0.37768,1.13879,2.03562,1.53865,0.00068075,0.00068075,0.00068075
48,158.532,0.81327,1.24944,1.27376,0.57303,0.50685,0.53769,0.34705,1.17252,2.08198,1.59042,0.000668375,0.000668375,0.000668375
49,162.611,0.79781,1.25813,1.25136,0.61015,0.47983,0.51635,0.32352,1.17124,2.14556,1.60996,0.000656,0.000656,0.000656
50,166.122,0.79328,1.21336,1.25434,0.559,0.5864,0.55835,0.3586,1.14358,2.08172,1.60804,0.000643625,0.000643625,0.000643625
51,168.661,0.77488,1.21205,1.24679,0.64129,0.60361,0.6099,0.40614,1.07964,1.91713,1.55667,0.00063125,0.00063125,0.00063125
52,171.312,0.75298,1.16522,1.19831,0.64709,0.63774,0.66429,0.47542,1.00371,1.63661,1.48828,0.000618875,0.000618875,0.000618875
53,173.939,0.7556,1.13071,1.21133,0.67006,0.59739,0.65456,0.48426,0.97388,1.65388,1.45705,0.0006065,0.0006065,0.0006065
54,177.572,0.7938,1.17016,1.2687,0.60024,0.65395,0.65755,0.49471,0.9706,1.76263,1.45547,0.000594125,0.000594125,0.000594125
55,181.71,0.81304,1.1908,1.25613,0.59743,0.64909,0.65274,0.49561,0.96074,1.75692,1.44004,0.00058175,0.00058175,0.00058175
56,184.602,0.74388,1.13563,1.23403,0.58422,0.61182,0.63963,0.49149,0.98001,1.74999,1.47366,0.000569375,0.000569375,0.000569375
57,187.222,0.77062,1.12517,1.23523,0.56264,0.636,0.64741,0.49782,0.96275,1.67905,1.44357,0.000557,0.000557,0.000557
58,189.813,0.72296,1.08065,1.21711,0.63892,0.65976,0.68742,0.52992,0.90668,1.52965,1.35499,0.000544625,0.000544625,0.000544625
59,192.775,0.75711,1.09199,1.24334,0.65636,0.66121,0.69464,0.53634,0.91727,1.5221,1.34763,0.00053225,0.00053225,0.00053225
60,196.681,0.72369,1.05445,1.21099,0.65635,0.67398,0.69228,0.54096,0.90089,1.55693,1.32881,0.000519875,0.000519875,0.000519875
61,200.345,0.70023,1.02937,1.2047,0.62884,0.65895,0.6758,0.52693,0.88781,1.57326,1.31124,0.0005075,0.0005075,0.0005075
62,203.1,0.74388,1.06768,1.21384,0.64418,0.59331,0.65518,0.50168,0.90236,1.6514,1.31803,0.000495125,0.000495125,0.000495125
63,205.755,0.71445,1.03952,1.17191,0.58132,0.65504,0.64778,0.4954,0.89235,1.66269,1.31008,0.00048275,0.00048275,0.00048275
64,208.304,0.74059,1.03688,1.19978,0.72563,0.57419,0.67391,0.52817,0.84138,1.61036,1.27258,0.000470375,0.000470375,0.000470375
65,211.541,0.73513,1.05757,1.211,0.69362,0.63697,0.68434,0.53539,0.85212,1.57777,1.27818,0.000458,0.000458,0.000458
66,215.708,0.69793,0.98389,1.20943,0.73201,0.64421,0.74185,0.58631,0.88806,1.41811,1.3181,0.000445625,0.000445625,0.000445625
67,219.241,0.69912,1.03407,1.20597,0.75841,0.67104,0.75976,0.59129,0.91326,1.36384,1.35297,0.00043325,0.00043325,0.00043325
68,221.956,0.69797,1.02005,1.19381,0.77644,0.67111,0.76415,0.59621,0.89808,1.35421,1.34761,0.000420875,0.000420875,0.000420875
69,224.596,0.68577,1.00774,1.1954,0.7643,0.7074,0.7636,0.59396,0.88517,1.36358,1.33987,0.0004085,0.0004085,0.0004085
