epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5226,1.06536,3.22646,1.38998,0.00326,0.99286,0.25961,0.15318,0.90196,3.0563,1.36896,0.00021671,0.00021671,0.00021671
2,43.7229,0.99865,2.52195,1.38544,0.00316,0.95942,0.15918,0.07509,1.34147,3.08947,1.78398,0.000445634,0.000445634,0.000445634
3,61.0197,1.09515,2.17846,1.45183,0.17785,0.13571,0.16092,0.08044,1.4097,3.04565,2.20735,0.000669937,0.000669937,0.000669937
4,78.7599,1.11486,2.11332,1.4345,0.6005,0.10714,0.08102,0.02689,1.92008,3.32063,3.31908,0.00088962,0.00088962,0.00088962
5,96.5538,1.17882,2.03285,1.47854,0.06031,0.23301,0.06537,0.0229,2.02397,3.71208,3.63051,0.00110468,0.00110468,0.00110468
6,114.414,1.28783,2.01024,1.53943,0.27613,0.01115,0.0205,0.0101,2.36518,3.48821,3.54811,0.00131512,0.00131512,0.00131512
7,131.703,1.25785,1.94599,1.54937,0.02863,0.01829,0.01182,0.00297,2.69051,3.57097,3.65208,0.00152094,0.00152094,0.00152094
8,149.504,1.32149,1.96837,1.57755,0.00168,0.38149,0.00267,0.00063,3.5768,3.39397,5.22132,0.00155148,0.00155148,0.00155148
9,167.108,1.36554,1.91489,1.60858,0.00751,0.29545,0.00654,0.00202,2.84239,27.0247,5.50689,0.00153497,0.00153497,0.00153497
10,184.23,1.33583,1.79258,1.56765,0.0264,0.06158,0.01571,0.00559,2.4226,3.58929,4.19089,0.00151847,0.00151847,0.00151847
11,201.78,1.33186,1.80004,1.58587,0.25091,0.29837,0.08883,0.03321,2.35353,3.42551,3.68646,0.00150197,0.00150197,0.00150197
12,218.734,1.25845,1.67777,1.5411,0.07295,0.17208,0.08234,0.03771,2.313,3.8,3.37292,0.00148546,0.00148546,0.00148546
13,236.615,1.28875,1.67695,1.57496,0.12984,0.25606,0.08318,0.03247,2.6625,3.83048,4.77656,0.00146896,0.00146896,0.00146896
