epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9106,0,25.5531,0,0.00981,0.57683,0.02065,0.00864,1.25707,3.81787,1.47269,0,0,0
2,19.6203,0,25.4994,0,0.01318,0.58106,0.02325,0.00986,1.25282,3.81618,1.46604,1.1e-05,1.1e-05,1.1e-05
3,26.8651,0,25.5151,0,0.0112,0.54155,0.02118,0.00885,1.25097,3.81962,1.4626,2.178e-05,2.178e-05,2.178e-05
4,33.5515,0,25.5213,0,0.02031,0.543,0.02702,0.01128,1.24732,3.80726,1.45878,3.23401e-05,3.23401e-05,3.23401e-05
5,39.1229,0,25.4785,0,0.02136,0.50067,0.02839,0.01078,1.24199,3.79056,1.45279,4.26802e-05,4.26802e-05,4.26802e-05
6,47.8354,0,25.4507,0,0.02695,0.46773,0.03118,0.01158,1.22937,3.7614,1.44564,5.28003e-05,5.28003e-05,5.28003e-05
7,53.8187,0,25.3458,0,0.03068,0.45269,0.0327,0.01206,1.20263,3.75229,1.42889,6.27004e-05,6.27004e-05,6.27004e-05
8,60.913,0,25.3025,0,0.03139,0.43098,0.03351,0.01167,1.18068,3.74537,1.41558,7.23805e-05,7.23805e-05,7.23805e-05
9,68.2391,0,25.2499,0,0.04147,0.56193,0.0394,0.01274,1.17564,3.74361,1.41484,8.18407e-05,8.18407e-05,8.18407e-05
10,73.927,0,25.1237,0,0.03204,0.54898,0.03404,0.01416,1.18131,3.7438,1.4208,9.10809e-05,9.10809e-05,9.10809e-05
11,82.069,0,25.0613,0,0.04499,0.54475,0.0405,0.01777,1.18031,3.73582,1.42221,0.000100101,0.000100101,0.000100101
12,88.1109,0,24.9755,0,0.04489,0.53494,0.0408,0.02011,1.17471,3.72775,1.4218,0.000108901,0.000108901,0.000108901
13,94.2823,0,24.9527,0,0.05025,0.54048,0.04416,0.02205,1.17153,3.72717,1.43376,0.000117482,0.000117482,0.000117482
14,101.898,0,24.7981,0,0.05916,0.53934,0.04998,0.02475,1.17364,3.72982,1.44983,0.000125842,0.000125842,0.000125842
15,107.57,0,24.7127,0,0.04858,0.54985,0.04412,0.02364,1.18687,3.73467,1.46122,0.000133982,0.000133982,0.000133982
16,115.023,0,24.5601,0,0.04215,0.5477,0.04266,0.02351,1.1944,3.7382,1.47486,0.000141902,0.000141902,0.000141902
17,121.744,0,24.5164,0,0.05533,0.55962,0.05098,0.02653,1.20798,3.75264,1.4954,0.000149603,0.000149603,0.000149603
18,127.544,0,24.388,0,0.05719,0.56587,0.05258,0.02886,1.22777,3.76826,1.51981,0.000157083,0.000157083,0.000157083
19,136.156,0,24.2743,0,0.05242,0.57387,0.05253,0.02659,1.24329,3.78718,1.54868,0.000164344,0.000164344,0.000164344
20,141.688,0,24.1437,0,0.04582,0.57139,0.0496,0.02443,1.27215,3.79799,1.5705,0.000171384,0.000171384,0.000171384
21,148.45,0,24.0455,0,0.03979,0.57134,0.04515,0.02181,1.30025,3.80356,1.59753,0.000178204,0.000178204,0.000178204
22,155.94,0,23.9063,0,0.03605,0.43926,0.04094,0.01905,1.33007,3.83516,1.63152,0.000184805,0.000184805,0.000184805
23,161.591,0,23.7822,0,0.03238,0.43751,0.03729,0.0178,1.35809,3.86508,1.67381,0.000191185,0.000191185,0.000191185
24,169.381,0,23.6355,0,0.02638,0.43394,0.03097,0.01489,1.39034,3.88736,1.73272,0.000197346,0.000197346,0.000197346
25,175.861,0,23.5898,0,0.02231,0.43324,0.02639,0.01214,1.42719,3.90328,1.76471,0.000203286,0.000203286,0.000203286
26,181.811,0,23.4874,0,0.0173,0.41535,0.02211,0.00957,1.46324,3.92015,1.80638,0.000209007,0.000209007,0.000209007
27,190.085,0,23.1874,0,0.01359,0.39783,0.02021,0.00796,1.49593,3.94821,1.85202,0.000214507,0.000214507,0.000214507
28,195.584,0,23.1075,0,0.01294,0.38483,0.01966,0.00759,1.52431,3.97064,1.88935,0.000219788,0.000219788,0.000219788
29,202.656,0,23.0128,0,0.01406,0.40517,0.0195,0.00778,1.56833,3.9925,1.92903,0.000224849,0.000224849,0.000224849
30,209.235,0,22.8976,0,0.01149,0.39392,0.01717,0.00671,1.60015,4.02778,1.98094,0.000229689,0.000229689,0.000229689
31,214.749,0,22.7299,0,0.01052,0.27448,0.01626,0.00596,1.64762,4.09622,2.04205,0.00023431,0.00023431,0.00023431
32,223.036,0,22.6092,0,0.0089,0.28175,0.01493,0.00531,1.69639,4.10911,2.08361,0.000238711,0.000238711,0.000238711
33,228.852,0,22.4574,0,0.0087,0.26695,0.01426,0.005,1.7413,4.14735,2.1504,0.000242891,0.000242891,0.000242891
34,235.218,0,22.3457,0,0.00741,0.25957,0.014,0.00451,1.78074,4.1634,2.19731,0.000246852,0.000246852,0.000246852
35,242.546,0,22.1508,0,0.0066,0.26441,0.01308,0.00421,1.78991,4.17787,2.24439,0.000250593,0.000250593,0.000250593
36,248.076,0,22.0517,0,0.00685,0.24539,0.01338,0.00416,1.82456,4.23363,2.31338,0.000254113,0.000254113,0.000254113
37,255.629,0,22.0409,0,0.00765,0.26738,0.01418,0.00436,1.89752,4.28427,2.42698,0.000257414,0.000257414,0.000257414
38,261.94,0,21.7214,0,0.00657,0.2607,0.01316,0.00419,1.96083,4.32597,2.53078,0.000260495,0.000260495,0.000260495
39,267.691,0,22.132,0,0.00562,0.26101,0.01242,0.0045,2.04136,4.32588,2.63679,0.000263356,0.000263356,0.000263356
40,276.145,0,21.8549,0,0.0057,0.27076,0.01133,0.00396,2.14327,4.39175,2.76433,0.000265997,0.000265997,0.000265997
41,281.957,0,21.6971,0,0.00578,0.26894,0.01116,0.00401,2.13276,4.38443,2.73211,0.000268418,0.000268418,0.000268418
42,288.691,0,21.567,0,0.00516,0.27202,0.01058,0.0038,2.20161,4.43426,2.82281,0.000270618,0.000270618,0.000270618
43,295.782,0,21.2844,0,0.00491,0.28039,0.00801,0.00275,2.32081,4.40146,2.94522,0.000272599,0.000272599,0.000272599
44,301.471,0,21.0975,0,0.00496,0.29129,0.00665,0.00237,2.34944,4.41873,2.95546,0.00027436,0.00027436,0.00027436
45,309.356,0,21.0924,0,0.00468,0.28528,0.00578,0.00214,2.3406,4.40383,2.97619,0.000275901,0.000275901,0.000275901
46,315.881,0,20.9227,0,0.00468,0.26992,0.00588,0.00206,2.39373,4.45216,3.02496,0.000277222,0.000277222,0.000277222
47,321.634,0,20.8645,0,0.00456,0.26639,0.00598,0.00214,2.44939,4.44335,3.10274,0.000278323,0.000278323,0.000278323
48,329.763,0,20.6802,0,0.00472,0.27549,0.00617,0.0021,2.52383,4.45372,3.16217,0.000279204,0.000279204,0.000279204
49,335.609,0,20.5399,0,0.0045,0.29268,0.00616,0.00209,2.56336,4.46912,3.17873,0.000279865,0.000279865,0.000279865
50,342.416,0,20.3747,0,0.00415,0.2944,0.00626,0.00212,2.6191,4.48537,3.20624,0.000280306,0.000280306,0.000280306
51,349.892,0,20.2504,0,0.00409,0.31227,0.00641,0.00215,2.63471,4.48114,3.22553,0.000280527,0.000280527,0.000280527
52,355.536,0,20.3529,0,0.00373,0.32489,0.0063,0.00203,2.67677,4.49376,3.26918,0.000280529,0.000280529,0.000280529
53,363.6,0,19.9834,0,0.00351,0.33675,0.00667,0.00208,2.69061,4.53103,3.28828,0.00028031,0.00028031,0.00028031
54,369.907,0,20.3001,0,0.00337,0.32695,0.00726,0.00216,2.7215,4.53147,3.31311,0.000279871,0.000279871,0.000279871
55,376.009,0,19.8845,0,0.00334,0.33852,0.00678,0.00213,2.74517,4.50415,3.30127,0.000279212,0.000279212,0.000279212
56,383.979,0,19.7209,0,0.00335,0.3462,0.00778,0.00236,2.72439,4.48443,3.28457,0.000278333,0.000278333,0.000278333
57,389.492,0,19.7042,0,0.0032,0.35042,0.00689,0.00222,2.73546,4.48701,3.29353,0.000277234,0.000277234,0.000277234
58,396.373,0,19.5177,0,0.00301,0.35784,0.00774,0.00217,2.72884,4.46177,3.29469,0.000275916,0.000275916,0.000275916
59,403.697,0,19.608,0,0.00295,0.36174,0.00726,0.00215,2.75948,4.46575,3.33095,0.000274377,0.000274377,0.000274377
60,409.461,0,19.5508,0,0.00291,0.36874,0.00789,0.0023,2.77089,4.45307,3.3633,0.000272618,0.000272618,0.000272618
61,417.764,0,19.2979,0,0.003,0.3607,0.00692,0.00214,2.80506,4.50382,3.38576,0.00027064,0.00027064,0.00027064
62,424.001,0,19.2011,0,0.00301,0.37761,0.00558,0.00176,2.80884,4.543,3.39208,0.000268441,0.000268441,0.000268441
63,429.892,0,19.1286,0,0.00288,0.38599,0.00465,0.00149,2.8225,4.52753,3.40415,0.000266022,0.000266022,0.000266022
64,437.933,0,19.0527,0,0.00267,0.38175,0.00418,0.00132,2.89183,4.55356,3.44831,0.000263384,0.000263384,0.000263384
65,443.421,0,18.97,0,0.00252,0.37186,0.00387,0.00123,2.87546,4.68183,3.44273,0.000260525,0.000260525,0.000260525
66,450.81,0,18.8881,0,0.00243,0.38204,0.00359,0.00115,2.88879,4.66741,3.46064,0.000257446,0.000257446,0.000257446
67,457.509,0,18.8033,0,0.00236,0.38873,0.00358,0.00109,2.95024,4.62237,3.52295,0.000254148,0.000254148,0.000254148
68,463.068,0,18.7154,0,0.00221,0.37777,0.00341,0.00101,2.9908,4.65369,3.59503,0.000250629,0.000250629,0.000250629
69,471.884,0,18.605,0,0.00216,0.39109,0.00333,0.00098,3.03693,4.63514,3.65,0.000246891,0.000246891,0.000246891
70,477.666,0,18.558,0,0.00209,0.37905,0.00311,0.00093,3.04398,4.5908,3.67764,0.000242932,0.000242932,0.000242932
71,484.346,0,18.3758,0,0.00207,0.3741,0.00297,0.00092,3.03289,4.71335,3.69375,0.000238754,0.000238754,0.000238754
72,491.437,0,18.3422,0,0.00207,0.36497,0.00297,0.00095,3.00586,4.76852,3.71744,0.000234355,0.000234355,0.000234355
73,497.064,0,18.2766,0,0.00206,0.36429,0.00299,0.00094,3.01241,4.81271,3.75448,0.000229737,0.000229737,0.000229737
74,505.099,0,18.1394,0,0.00208,0.36324,0.00287,0.00091,3.03918,4.94084,3.80252,0.000224899,0.000224899,0.000224899
75,511.48,0,18.0606,0,0.0021,0.36737,0.00286,0.00091,3.03861,5.24205,3.85367,0.00021984,0.00021984,0.00021984
76,517.469,0,17.9408,0,0.00209,0.35266,0.0027,0.00088,3.07492,5.43406,3.95161,0.000214562,0.000214562,0.000214562
77,525.338,0,18.1378,0,0.00206,0.34808,0.0026,0.00084,3.06163,5.49898,3.92964,0.000209064,0.000209064,0.000209064
78,530.843,0,17.839,0,0.0021,0.3555,0.00264,0.00085,3.05061,5.38784,4.00052,0.000203345,0.000203345,0.000203345
79,537.855,0,17.7527,0,0.0021,0.35445,0.00254,0.00084,3.09251,5.23218,4.00796,0.000197407,0.000197407,0.000197407
80,544.539,0,17.7519,0,0.00209,0.34882,0.00249,0.00083,3.08229,5.06326,3.97456,0.000191249,0.000191249,0.000191249
81,550.274,0,17.6322,0,0.00209,0.34639,0.00248,0.00083,3.0749,4.88529,3.91191,0.00018487,0.00018487,0.00018487
82,558.777,0,17.6051,0,0.00211,0.34391,0.00269,0.00088,3.06066,4.68745,3.8161,0.000178272,0.000178272,0.000178272
83,564.599,0,17.5692,0,0.00214,0.34248,0.00278,0.00092,3.04903,4.57997,3.76178,0.000171454,0.000171454,0.000171454
84,571.041,0,17.6701,0,0.00209,0.33999,0.00275,0.00088,3.06079,4.61159,3.75424,0.000164416,0.000164416,0.000164416
85,578.696,0,17.5112,0,0.00205,0.33364,0.00275,0.00089,3.05189,4.54243,3.68522,0.000157158,0.000157158,0.000157158
86,584.408,0,17.3809,0,0.00212,0.33403,0.00283,0.00089,3.02835,4.53326,3.65595,0.000149679,0.000149679,0.000149679
87,591.929,0,17.433,0,0.00216,0.33714,0.00281,0.00088,3.04097,4.56523,3.61552,0.000141981,0.000141981,0.000141981
88,598.687,0,17.3236,0,0.00211,0.33189,0.00273,0.00086,3.02818,4.53777,3.57657,0.000134063,0.000134063,0.000134063
89,604.214,0,17.3763,0,0.00218,0.333,0.00281,0.00084,3.02441,4.49681,3.55454,0.000125925,0.000125925,0.000125925
90,612.409,0,17.3478,0,0.00214,0.33118,0.00278,0.00085,3.00627,4.51602,3.50716,0.000117567,0.000117567,0.000117567
91,618.462,0,17.1709,0,0.00206,0.31646,0.00269,0.00081,3.0028,4.49049,3.47601,0.000108989,0.000108989,0.000108989
92,625.965,0,17.134,0,0.00211,0.31681,0.00301,0.00086,2.99939,4.43891,3.44627,0.000100191,0.000100191,0.000100191
93,632.552,0,17.141,0,0.00213,0.31363,0.00315,0.00085,3.00731,4.41513,3.44465,9.11731e-05,9.11731e-05,9.11731e-05
94,638.065,0,17.1774,0,0.00207,0.3002,0.00321,0.00083,3.00305,4.41039,3.4176,8.19351e-05,8.19351e-05,8.19351e-05
95,646.64,0,17.0893,0,0.00201,0.29423,0.0031,0.00084,3.01518,4.39673,3.39826,7.24772e-05,7.24772e-05,7.24772e-05
96,652.595,0,17.0984,0,0.00202,0.29147,0.00305,0.00083,2.99944,4.40083,3.38571,6.27993e-05,6.27993e-05,6.27993e-05
97,658.692,0,17.2498,0,0.00205,0.29347,0.00301,0.0008,3.01056,4.39121,3.3826,5.29014e-05,5.29014e-05,5.29014e-05
98,666.816,0,17.026,0,0.00203,0.2907,0.00317,0.00082,3.02424,4.38579,3.37115,4.27835e-05,4.27835e-05,4.27835e-05
99,672.232,0,17.0719,0,0.00205,0.29636,0.00324,0.00083,3.01983,4.38555,3.35269,3.24456e-05,3.24456e-05,3.24456e-05
100,679.123,0,17.0322,0,0.00202,0.28403,0.00331,0.00085,3.01229,4.38346,3.34754,2.18878e-05,2.18878e-05,2.18878e-05
