epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9777,1.17554,3.37011,1.46886,0.00326,0.98438,0.08262,0.03626,0.92801,3.07181,1.42523,0.00010002,0.00010002,0.00010002
2,24.7266,0.9909,3.13886,1.37857,0.00322,0.98438,0.16392,0.08841,0.89097,3.04524,1.3557,0.000214565,0.000214565,0.000214565
3,34.5258,0.95642,2.73876,1.31906,0.00322,0.98438,0.21777,0.11249,1.04608,3.02866,1.52991,0.000326799,0.000326799,0.000326799
4,42.4175,0.98466,2.32153,1.37061,0.00323,0.97495,0.35444,0.20168,1.05519,3.00593,1.69685,0.000436722,0.000436722,0.000436722
5,52.8413,1.05695,2.22995,1.40701,0.01573,0.92026,0.21278,0.0929,1.47058,3.01275,2.22057,0.000544336,0.000544336,0.000544336
6,61.1092,1.05436,2.08503,1.3789,0.7215,0.13674,0.29448,0.13911,1.34833,2.85337,2.29204,0.000649638,0.000649638,0.000649638
7,71.675,1.10713,2.0045,1.4303,0.66328,0.07812,0.25269,0.11132,1.39344,2.94398,2.21056,0.00075263,0.00075263,0.00075263
8,80.1266,1.07904,1.91999,1.37355,0.30317,0.31412,0.16106,0.0633,1.66374,3.09791,2.65295,0.000853312,0.000853312,0.000853312
9,89.6979,1.18903,1.96404,1.47496,0.59189,0.10156,0.10219,0.04053,1.92257,3.03465,3.14319,0.000951684,0.000951684,0.000951684
10,97.9603,1.13207,1.89858,1.44191,0.55626,0.00781,0.04947,0.01685,2.24577,3.21463,3.38429,0.00104774,0.00104774,0.00104774
11,107.585,1.17906,1.80425,1.439,0.08361,0.05469,0.05757,0.02367,2.26151,3.17664,2.97414,0.00114149,0.00114149,0.00114149
12,116.194,1.1504,1.84913,1.43798,0.05292,0.02505,0.01043,0.00514,3.13573,3.92205,3.56715,0.00123293,0.00123293,0.00123293
13,124.925,1.14119,1.73789,1.42919,0.11009,0.17861,0.07965,0.0245,2.27108,4.71689,3.95753,0.00132206,0.00132206,0.00132206
14,134.277,1.27191,1.83411,1.55434,0.50205,0.15625,0.00217,0.0007,3.37931,16.3354,6.5424,0.00140888,0.00140888,0.00140888
15,142.193,1.24734,1.83332,1.51439,0.01445,0.04688,0.00343,0.00068,3.17436,5.66848,8.20334,0.00143595,0.00143595,0.00143595
16,151.124,1.24909,1.76701,1.53095,0.14182,0.19195,0.07037,0.02054,2.79246,3.86676,4.27951,0.00141945,0.00141945,0.00141945
17,159.993,1.22372,1.71687,1.52884,0.18163,0.26105,0.10524,0.03347,2.18545,3.07248,2.97716,0.00140295,0.00140295,0.00140295
